filename, language, JavaScript, comment, blank, total
dictionaries/destinations-patch.js, JavaScript, 20, 0, 0, 20
dictionaries/dictionary-patch.js, JavaScript, 204, 1, 1, 206
dictionaries/people-patch.js, JavaScript, 629, 0, 1, 630
dictionaries/promo-seasons-patch.js, JavaScript, 26, 0, 0, 26
src/count-down.js, JavaScript, 369, 73, 72, 514
src/exit-popup.js, JavaScript, 372, 34, 65, 471
src/hero-banner.js, JavaScript, 93, 18, 18, 129
src/init.js, JavaScript, 22, 1, 7, 30
src/iobd.js, JavaScript, 216, 2, 39, 257
src/kids-sail-free.js, JavaScript, 217, 6, 36, 259
src/mexico-phone-mod.js, JavaScript, 30, 4, 6, 40
src/old-browser-popup.js, JavaScript, 135, 19, 30, 184
src/people-watching.js, JavaScript, 313, 21, 66, 400
src/pills.js, JavaScript, 433, 106, 78, 617
src/promo-code.js, JavaScript, 431, 18, 70, 519
Total, -, 3510, 303, 489, 4302